"XAV1","FJW2","AFV3","Output6","PNS4","UXD5","QSY6","XGK7","LBV8","HGE9","WSX10","PVB11","TXH12"
NA,55.102,15.677,"Class3","Q","F",39,42,84.324,39.878,16.411,27.995,83.237
22.425,4.477,52.231,"Class2","D","Y",9,39,47.602,31.721,70.128,64.926,61.018
19.846,29.056,21.167,"Class2","K","Z",9,40,50.819,42.642,84.658,82.917,61.373
19.826,9.839,50.572,"Class5","I","P",51,89,72.924,40.354,10.649,33.461,35.737
NA,53.194,60.942,"Class1","D","K",55,48,23.437,29.503,57.66,84.396,86.05
81.64,71.147,82.555,"Class1","D","L",54,50,44.829,26.383,24.46,30.873,79.279
63.494,41.803,27.574,"Class3","S","O",38,45,85.336,28.668,12.081,51.324,72.684
74.437,11.262,54.068,"Class5","N","F",50,88,60.306,30.956,21.277,30.399,21.902
55.102,14.542,40.249,"Class5","N","Z",51,87,67.843,51.119,42.402,34.605,34.507
74.573,48.604,24.413,"Class3","S","J",46,34,83.383,29.184,66.563,38.826,69.468
37.455,10.925,36.041,"Class5","Y","F",53,89,36.659,17.856,39.094,34.317,24.174
72.339,59.115,69.564,"Class1","U","L",85,52,37.639,25.9,45.996,93.89,82.031
77.823,93.227,62.651,"Class1","L","N",65,51,53.258,28.903,90.962,42.908,86.49
64.045,56.355,31.761,"Class3","C","F",47,27,86.525,30.903,29.985,36.509,74.05
56.471,59.759,62.049,"Class1","L","D",81,52,55.504,27.324,10.607,59.126,81.113
65.643,72.603,48.544,"Class1","L","L",52,50,20.91,29.585,10.67,22.725,81.071
65.902,35.291,76.874,"Class4","S","J",63,56,56.229,53.759,60.454,55.639,3.366
23.838,13.12,47.502,"Class5","N","P",49,85,57.9,32.734,22.07,32.282,31.382
71.338,72.528,38.982,"Class1","D","Q",58,50,32.909,28.276,41.619,5.927,81.527
61.278,41.407,93.652,"Class4","F","B",63,60,71.294,52.844,66.359,45.532,1.891
41.291,16.154,93.225,"Class2","H","Z",25,34,38.964,42.548,83.624,37.05,47.584
56.557,47.236,76.225,"Class4","F","J",67,50,34.675,52.873,43.495,79.033,2.908
73.62,35.173,27.09,"Class3","K","O",47,36,83.756,16.038,51.169,27.868,78.366
12.673,2.976,60.496,"Class5","S","X",51,88,64.114,33.457,42.098,33.13,11.609
52.415,42.954,58.387,"Class4","G","J",63,51,67.534,51.827,80.905,61.527,2.31
27.484,52.735,25.177,"Class2","D","P",18,32,37.615,37.378,56.144,69.568,62.829
52.043,42.223,56.746,"Class4","F","B",61,44,63.09,51.076,68.234,51.734,2.323
61.04,61.277,24.949,"Class3","K","Y",45,20,82.59,21.928,71.947,22.703,66.022
21.856,2.208,50.064,"Class2","D","Y",22,20,44.927,43.096,70.834,87.592,47.945
27.061,18.099,26.381,"Class2","K","Y",13,77,50.658,47.89,51.438,69.079,61.036
61.435,44.422,27.778,"Class3","S","J",42,19,79.2,24.092,-9.729,31.397,80.064
NA,73.007,55.915,"Class1","L","D",66,49,64.311,28.77,49.359,29.404,76.62
53.278,43.026,88.215,"Class4","G","I",61,44,36.8,51.526,84.52,58.159,2.331
21.021,20.148,91.851,"Class2","K","J",9,72,50.881,23.171,61.994,38.575,58.095
33.338,10.203,35.822,"Class5","S","K",50,89,25.148,23.638,36.849,35.979,-9.047
51.184,43.998,97.741,"Class4","S","Z",64,40,57.945,55.137,54.006,37.441,3.08
63.288,NA,61.385,"Class4","U","Z",62,58,23.488,55.347,56.978,37.275,1.442
62.701,29.526,66.176,"Class4","S","B",61,46,30.455,54.914,66.977,83.29,2.674
64.799,61.263,64.223,"Class1","G","Q",48,49,61.049,29.349,33.881,32.675,74.544
53.696,7.42,59.875,"Class5","D","P",53,88,34.16,21.858,39.186,35.312,21.907
62.88,36.849,53.181,"Class4","S","J",67,55,24.417,52.848,57.476,51.935,2.783
44.511,37.329,93.987,"Class2","J","S",9,44,49.63,25.099,80.431,113.327,48.178
78.082,54.697,49.349,"Class1","X","K",45,52,43.782,25.048,59.519,-3.339,79.638
81.134,57.366,77.358,"Class1","D","L",79,50,53.382,26.18,37.378,-15.731,77.132
63.077,53.304,79.181,"Class1","U","D",75,47,53.564,25.386,37.179,41.431,80.568
59.685,53.749,15.468,"Class3","I","J",38,30,85.819,36.801,36.993,38.005,75.296
17.786,58.145,45.505,"Class2","K","Y",22,21,37.052,59.838,61.667,15.674,46.215
57.306,14.349,32.141,"Class5","D","Z",53,88,34.408,30.905,44.164,34.346,24.775
55.587,NA,67.021,"Class4","F","J",67,61,59.983,52.724,69.273,39.786,2.646
75.455,46.282,22.915,"Class3","Q","J",47,23,86.744,26.822,7.887,50.74,64.486
61.626,42.197,20.711,"Class3","C","S",43,36,80.897,43.977,58.324,56.954,88.665
31.122,57.793,77.194,"Class2","H","J",25,64,43.036,29.965,34.791,30.247,52.148
58.036,40.106,54.091,"Class4","U","J",64,60,78.805,52.416,66.529,93.511,2.516
65.242,39.686,79.885,"Class4","U","Z",67,42,45.645,52.855,58.35,77.216,3.055
69.501,61.666,59.34,"Class1","L","L",85,49,43.327,29.99,73.88,20.762,79.602
57.536,40.453,87.039,"Class4","U","B",66,43,14.612,55.115,24.725,27.793,2.941
61.363,37.129,78.186,"Class4","S","I",66,57,31.755,55.175,44.459,56.979,3.297
60.087,46.575,94.257,"Class4","S","I",64,54,52.926,55.284,72.447,81.673,2.542
22.899,60.482,85.148,"Class2","D","P",13,22,39.295,42.491,86.443,85.612,59.826
41.538,13.569,42.322,"Class5","I","X",52,87,67.296,44.091,21.963,36.575,46.334
56.442,62.102,19.93,"Class3","Q","F",47,22,81.624,29.229,30.267,44.043,94.444
59.146,37.192,58.731,"Class4","S","S",62,54,40.571,51.671,63.116,82.249,3.443
61.981,39.571,58.439,"Class4","S","S",63,44,18.93,55.656,70.679,66.788,1.72
65.027,43.513,68.904,"Class4","U","B",64,50,17.654,51.61,38.762,55.929,2.15
68.282,45.611,89.189,"Class4","S","I",65,54,53.165,53.66,78.667,56.947,0.99
54.628,40.1,56.36,"Class4","S","S",61,54,46.813,52.968,83.873,46.909,3.809
68.264,42.439,63.996,"Class4","S","Z",64,47,66.232,55.155,63.938,95.577,3.087
60.718,44.906,97.333,"Class4","H","J",62,50,53.53,53.515,85.039,27.511,4.186
61.097,12.035,41.061,"Class5","I","Z",53,87,59.291,39.613,41.379,33.919,41.397
51.458,15.828,47.232,"Class5","Y","P",54,89,37.308,44.753,22.728,33.053,38.394
18.191,10.135,47.494,"Class5","Y","P",52,85,53.84,49.167,20.194,35.438,21.828
NA,NA,84.341,"Class4","H","Z",61,51,63.154,54.698,79.892,72.025,2.726
62.917,51.982,80.93,"Class4","U","S",65,61,32.812,52.704,51.568,41.702,1.49
59.417,42.362,25.16,"Class3","Q","O",44,16,81.943,31.044,23.023,41.53,80.998
55.777,20.474,31.278,"Class5","N","F",54,85,37.653,22.887,22.481,35.65,20.449
19.776,NA,37.754,"Class5","N","X",54,87,19.147,49.851,16.081,32.523,10.956
38.344,12.347,54.6,"Class5","D","Z",53,87,17.703,39.582,40.432,32.875,4.591
39.965,5.546,33.173,"Class5","S","K",54,85,56.253,42.326,25.144,35.071,26.915
44.996,46.327,80.739,"Class2","D","P",12,44,45.036,58.974,78.341,69.92,57.915
42.6,25.432,80.115,"Class2","H","S",25,43,46.05,29.246,64.062,64.58,66.622
NA,52.546,61.557,"Class2","H","Y",20,21,49.154,33.647,69.542,48.118,66.986
70.476,31.31,30.905,"Class3","S","O",41,41,86.753,42.197,48.955,32.164,65.161
54.931,50.16,92.996,"Class4","H","Z",61,54,38.609,54.916,69.522,40.214,1.516
57.396,NA,95.569,"Class4","S","Z",65,47,52.646,52.592,53.849,26.383,0.745
61.068,45.703,61.864,"Class1","X","K",41,52,49.577,27.683,33.839,55.123,81.808
13.049,35.546,25.121,"Class2","H","P",18,34,38.992,46.64,72.178,74.253,62.307
27.553,50.063,0.413,"Class2","F","P",20,62,47.151,51.706,59.498,59.36,41.905
40.304,67.867,93.115,"Class2","D","S",17,78,46.62,30.709,74.124,88.337,55.204
33.079,7.993,52.6,"Class5","N","P",51,86,43.263,36.708,47.556,33.268,34.332
38.102,3.88,60.167,"Class2","H","P",24,18,41.202,26.103,47.584,58.146,59.779
33.714,6.037,37.841,"Class5","S","X",53,89,20.559,10.076,40.291,29.032,26.375
40.541,42.185,57.067,"Class2","D","P",18,72,36.81,25.322,67.332,48.098,59.145
56.918,54.316,20.667,"Class3","C","Y",45,25,84.314,23.693,8.564,30.06,87.582
67.276,33.162,74.248,"Class4","H","Z",66,53,27.545,54.319,61.574,48.241,2.37
68.241,65.456,81.374,"Class1","X","D",38,47,44.085,29.425,45.596,28.161,72.089
41.712,43.291,83.689,"Class2","F","Y",22,69,45.534,52.557,72.861,111.435,61.458
57.435,50.751,31.651,"Class3","K","F",46,44,87.866,25.25,30.956,16.777,75.436
NA,37.378,88.07,"Class4","H","B",61,51,72.674,54.575,67.566,37.4,3.37
34.716,53.12,74.875,"Class2","F","P",10,36,40.335,25.375,80.829,84.863,51.835
39.869,19.936,50.207,"Class5","D","X",50,89,51.094,10.325,45.932,29.238,35.179
65.982,44.303,32.081,"Class3","I","S",41,39,82.658,27.496,69.457,43.157,77.712
58.971,33.857,68.082,"Class4","G","Z",61,53,56.6,54.19,72.189,67.565,3.8
64.465,41.261,17.079,"Class3","I","J",45,16,78.979,49.714,46.975,52.54,80.975
74.353,71.428,60.842,"Class1","U","Q",47,51,59.664,25.585,57.88,30.438,76.262
73.839,26.209,90.361,"Class1","X","K",77,49,48.889,27.15,95.092,52.71,78.38
53.709,50.864,56.04,"Class4","S","Z",65,49,67.558,51.963,50.806,60.134,2.709
30.834,13.715,32.514,"Class5","S","Z",51,85,32.264,8.316,30.836,35.841,19.921
59.384,49.945,54.044,"Class1","L","Q",45,52,30.713,25.946,86.127,36.337,78.472
33.152,61.848,26.314,"Class2","F","J",13,56,36.158,37.203,64.787,75.856,52.217
59.471,35.808,97.78,"Class4","U","B",61,45,20.008,51.423,61.199,14.997,0.973
52.875,40.698,95.403,"Class4","S","B",67,55,21.989,52.837,64.803,43.035,2.243
71.721,84.507,68.156,"Class1","L","K",72,47,50.601,26.804,81.188,54.369,83.446
76.544,45.825,30.801,"Class3","S","Y",37,23,79.71,19.819,55.774,45.936,83.139
NA,41.439,16.865,"Class3","K","F",46,46,82.698,16.887,35.303,34.526,61.967
75.622,37.659,24.441,"Class3","S","S",39,31,87.958,44.118,55.748,38.347,82.454
51.314,NA,58.524,"Class4","U","B",66,40,22.288,55.705,65.758,32.624,3.157
75.524,65.294,74.282,"Class1","L","Q",72,47,33.381,26.549,16.15,23,77.372
31.974,51.487,30.031,"Class2","D","P",12,35,42.487,25.791,76.684,38.343,50.845
58.453,50.92,25.208,"Class3","K","O",43,29,85.026,49.118,30.24,20.879,74.867
NA,-0.574,54.986,"Class5","I","P",49,85,56.133,32.435,25.616,31.727,13.125
53.236,46.386,76.76,"Class4","H","S",65,53,51.606,52.339,41.355,43.273,3.485
57.364,39.406,82.368,"Class4","H","B",64,50,66.323,52.012,67.137,51.965,3.702
12.779,9.145,42.992,"Class5","Y","P",50,85,12.562,50.596,19.487,33.806,34.19
72.868,63.153,55.511,"Class1","U","D",55,49,38.598,27.065,70.608,74.931,82.078
62.897,36.5,60.605,"Class4","S","I",61,45,54.253,55.54,77.487,82.419,1.948
33.53,50.695,21.935,"Class2","J","J",19,61,44.526,30.266,92.921,61.208,54.834
72.686,36.844,29.892,"Class3","Q","J",39,37,80.212,43.591,9.357,30.472,74.906
56.04,61.307,53.584,"Class1","X","Q",51,47,23.385,29.948,61.704,79.061,77.779
65.558,49.917,16.122,"Class3","Q","J",37,45,84.859,45.144,32.14,26.064,96.121
59.775,47.202,18.066,"Class3","Q","O",41,18,80.366,15.452,52.944,30.99,69.421
27.253,42.805,0.154,"Class2","F","J",14,46,45.111,46.245,61.271,43.289,59.568
29.206,19.312,89.634,"Class2","K","S",26,68,48.005,51.459,57.403,70.623,63.713
31.239,NA,36.079,"Class5","N","F",49,85,48.746,11.61,33.205,33.435,35.597
81.988,42.57,25.166,"Class3","K","J",45,18,86.166,19.31,35.086,61.551,88.18
79.763,65.691,83.609,"Class1","D","L",52,49,25.709,25.584,22.385,56.463,82.083
64.231,33.682,80.962,"Class4","G","S",64,60,73.658,51.574,81.88,70.965,1.511
68.31,63.408,45.032,"Class1","L","Q",84,47,50.853,27.38,39.181,51.197,81.593
68.823,45.019,21.341,"Class3","K","O",45,33,84.994,35.582,41.143,57.48,74.877
74.772,58.903,24.001,"Class3","I","J",43,44,83.054,15.811,16.528,49.295,77.693
NA,34.223,4.634,"Class2","D","S",24,62,40.507,54.731,61.589,64.855,64.59
52.137,14.224,42.843,"Class5","S","X",49,89,54.363,12.874,49.794,38.566,30.335
36.846,NA,43.911,"Class5","N","K",53,86,75.403,10.33,25.783,32.807,5.595
52.046,41.812,49.102,"Class4","G","J",62,57,73.851,55.091,59.372,27.246,1.273
82.658,44.045,29.807,"Class3","C","J",45,24,84.722,25.988,75.77,43.374,81.339
67.227,53.549,93.826,"Class4","H","J",67,41,76.375,55.657,90.039,45.079,3.645
56.937,40.246,66.792,"Class4","U","I",61,51,75.39,53.114,60.528,47.158,3.63
65.489,42.015,22.177,"Class3","Q","S",40,18,82.559,44.354,10.012,44.788,83.195
61.534,43.069,49.318,"Class4","G","Z",66,44,57.473,51.497,56.476,54.952,4.111
41.627,20.859,39.249,"Class5","S","P",54,88,39.186,53.067,54.801,36.187,27.882
67.702,41.375,67.352,"Class4","G","B",67,45,58.906,51.017,43.414,83.092,1.175
58.549,35.586,50.281,"Class4","S","Z",63,46,23.254,55.115,84.323,80.794,3.3
14.232,41.851,20.578,"Class2","K","Z",19,18,49.067,55.28,55.51,42.811,51.295
61.096,67.521,82.66,"Class1","U","Q",77,50,26.419,29.683,15.547,49.983,78.347
67.486,77.736,65.55,"Class1","X","L",78,47,56.268,29.918,54.786,24.248,75.271
71.982,66.343,79.003,"Class1","X","K",56,47,59.735,29.893,31.201,67.174,79.486
57.849,24.746,19.957,"Class3","I","J",42,30,78.771,41.813,21.585,28.134,73.518
80.548,61.968,91.989,"Class1","L","Q",48,47,47.223,26.899,55.919,30.537,81.555
70.775,43.447,21.346,"Class3","Q","S",41,42,84.905,37.42,37.974,14.715,69.158
7.57,8.295,59.822,"Class5","Y","Z",50,88,72.541,46.316,30.276,32.385,33.322
30.544,7.816,57.79,"Class5","Y","X",53,86,14.279,25.443,21.242,34.346,28.347
53.15,19.775,32.174,"Class5","N","K",49,87,22.005,50.373,25.558,32.525,14.687
17.601,13.396,51.021,"Class5","I","Z",49,89,43.552,18.208,25.896,32.718,35.844
64.24,45.93,77.357,"Class4","F","I",66,48,54.58,55.695,82.979,91.615,2.415
59.711,39.773,82.27,"Class4","H","Z",63,39,29.731,52.699,53.554,63.901,1.652
75.055,49.953,19.93,"Class3","C","O",40,18,78.43,39.677,37.812,50.27,89.029
61.299,8.168,53.573,"Class5","Y","X",53,88,16.882,15.427,43.277,32.457,23.86
64.503,68.441,52.856,"Class1","X","K",73,49,27.804,25.356,46.616,12.359,78.995
61.113,33.13,15.613,"Class3","I","Y",43,42,80.237,19.109,39.694,38.591,77.482
80.871,74.082,47.091,"Class1","X","D",86,51,65.008,29.233,67.897,69.823,80.484
32.335,17.266,56.685,"Class5","N","Z",49,86,49.824,14.184,34.144,37.041,22.13
23.252,15.206,54.109,"Class2","J","J",19,28,39.545,43.421,78.808,37.435,67.147
73.521,NA,28.234,"Class3","S","F",46,45,83.136,36.468,-17.489,34.675,98.27
75.312,49.611,31.981,"Class3","C","J",40,26,86.454,19.507,16.277,42.147,89.825
