"PML1","GYO2","CJW3","UXF4","JUR5","KPQ6","SHU7","UTG8","MSG9","Output7","PMO10"
8,73.531,"K",48.346,56.995,56.252,75.578,82.7,37.495,"Class2",45.658
7,80.788,"K",37.571,58.5,45.36,57.51,39.244,69.798,"Class2",48.318
14,70.503,"L",66.257,57.673,40.535,65.169,-6.248,39.481,"Class2",51.544
47,12.26,"O",18.244,48.703,45.027,48.574,76.53,76.473,"Class1",35.513
11,68.959,"L",50.298,54.738,47.285,80.448,87.293,54.92,"Class2",48.037
12,86.866,"C",71.929,55.357,35.841,70.894,57.915,49.488,"Class2",53.725
5,76.074,"C",32.238,56.312,48.147,84.067,8.651,77.246,"Class2",43.915
8,90.51,"U",49.808,56.002,64.323,91.154,57.233,29.257,"Class2",43.46
7,85.714,"L",62.076,55.937,36.638,77.06,35.103,53.048,"Class2",45.822
12,75.274,"U",49.323,57.406,71.863,53.64,76.143,32.221,"Class2",55.281
48,NA,"F",18.503,37.231,52.991,7.753,76.456,74.648,"Class1",48.003
8,91.556,"K",92.884,55.239,38.965,64.225,58.363,39.948,"Class2",50.026
13,94.026,"L",83.167,57.737,50.911,69.623,63.646,42.684,"Class2",47.781
14,74.872,"L",27.733,57.259,57.461,68.099,45.828,53.787,"Class2",45.378
47,63.406,"F",17.565,43.562,31.905,56.383,76.263,61.45,"Class1",29.854
10,69.894,"C",45.244,56.019,65.048,73.227,13.773,30.53,"Class2",49.113
48,NA,"C",17.393,57.21,67.25,66.444,76.197,32.044,"Class1",35.461
48,94.937,"O",14.184,52.204,44.277,50.513,75.809,NA,"Class1",4.322
48,50.581,"C",14.406,35.686,53.823,36.313,76.2,51.22,"Class1",70.806
48,83.478,"C",16.637,45.731,37.301,39.916,76.274,70.775,"Class1",63.795
7,NA,"C",39.81,54.719,70.284,59.939,28.343,50.078,"Class2",52.585
8,77.821,"L",32.689,57.153,65.837,52.513,47.981,30.64,"Class2",52.538
10,75.587,"U",35.235,57.13,40.257,73.888,25.922,70.574,"Class2",54.429
48,92.61,"C",14.734,38.14,92.784,77.526,75.947,45.749,"Class1",21.67
6,99.069,"C",76.456,55.167,50.438,89.828,21.609,70.985,"Class2",43.782
47,59.809,"F",17.801,54.881,55.589,3.202,76.12,46.982,"Class1",9.712
48,11.43,"Z",16.006,39.996,77.894,19.582,76.703,46.456,"Class1",13.722
13,85.753,"C",104.069,55.724,48.384,62.882,46.974,62.65,"Class2",45.956
10,109.597,"Y",22.6,57.005,68.998,76.576,62.436,71.347,"Class2",54.286
47,-40.884,"C",16.882,40.68,78.128,75.474,76.569,36.722,"Class1",34.522
47,32.762,"Z",16.305,40.492,93.431,29.065,76.136,35.581,"Class1",20.582
13,89.609,"U",84.044,57.358,54.015,61.535,44,29.249,"Class2",46.754
47,14.119,"C",17.214,44.947,56.01,42.39,76.353,64.025,"Class1",68.649
48,51.444,"F",16.761,48.78,60.744,79,76.969,73.974,"Class1",28.428
10,73.427,"C",42.434,55.264,47.899,55.549,49.484,40.133,"Class2",45.957
13,95.392,"K",25.184,55.016,71.927,75.685,61.476,48.639,"Class2",50.754
47,34.097,"C",17.752,41.392,81.597,58.932,77.113,77.182,"Class1",41.765
47,NA,"C",17.647,39.53,66.751,49.363,76.611,69.449,"Class1",18.467
48,38.483,"C",15.982,43.299,69.276,31.124,75.983,68.376,"Class1",1.041
10,89.872,"U",68.125,58.162,70.17,84.594,18.878,55.611,"Class2",54.745
9,83.468,"Y",59.333,54.413,64.969,56.518,43.488,34.186,"Class2",44.133
47,93.905,"C",16.935,33.195,60.076,41.23,76.507,37.638,"Class1",34.182
10,64.249,"L",20.369,57.594,41.29,69.226,5.539,31.918,"Class2",53.788
13,95.437,"L",69.419,54.46,54.308,64.192,47.004,36.884,"Class2",45.073
48,75.375,"Z",16.295,43.841,67.833,76.889,76.739,64.021,"Class1",17.389
13,70.449,"C",73.005,56.212,67.371,86.973,33.898,31.866,"Class2",55.692
12,71.432,"C",37.374,55.288,68.848,83.284,83.682,40.279,"Class2",55.602
47,93.369,"R",17.776,40.109,79.891,2.63,76.539,53.496,"Class1",66.769
48,73.957,"O",17.97,42.104,44.538,56.696,76.314,32.986,"Class1",24.507
7,81.346,"L",39.21,54.776,67.18,86.037,57.775,41.086,"Class2",44.875
48,74.51,"O",20.04,36.202,60.941,49.192,76.566,35.121,"Class1",32.892
47,44.816,"R",18.686,53.788,88.976,80.601,75.793,35.653,"Class1",28.897
5,84.07,"Y",39.602,57.191,49.478,90.33,78.12,54.926,"Class2",48.729
5,83.79,"Y",76.237,54.691,65.083,82.758,47.351,72.631,"Class2",49.5
48,19.489,"F",16.163,40.404,56.437,41.014,76.863,70.275,"Class1",69.91
47,49.618,"O",17.589,45.599,84.586,29.515,76.788,66.14,"Class1",20.06
47,65.249,"F",18.136,54.81,86.883,58.889,76.361,39.543,"Class1",70.191
14,98.325,"K",48.275,57.305,68.548,64.17,23.39,71.263,"Class2",46.203
48,54.312,"C",14.084,51.914,93.52,30.362,76.634,36.715,"Class1",61.916
12,73.695,"U",64.732,56.563,37.036,90.684,48.357,27.3,"Class2",47.777
12,71.507,"L",31.922,55.451,50.913,84.815,54.075,28.491,"Class2",55
48,58.473,"R",17.488,32.223,59.169,8.547,76.462,62.616,"Class1",51.269
5,82.275,"Y",1.51,58.124,50.951,88.066,32.205,79.673,"Class2",45.258
5,NA,"U",37.187,54.278,65.245,70.482,32.907,68.67,"Class2",47.757
6,54.087,"U",15.465,55.431,57.615,89.817,31.748,48.679,"Class2",43.65
9,96.098,"K",23.448,54.061,69.791,84.163,3.735,42.831,"Class2",49.079
48,66.464,"Z",17.726,47.349,41.159,11.607,75.818,74.168,"Class1",2.134
8,87.113,"Y",76.863,55.543,56.273,89.708,53.315,43.71,"Class2",43.254
8,97.781,"Y",24.444,56.263,34.647,56.667,15.464,38.852,"Class2",51.41
6,96.347,"U",68.535,55.713,41.817,70.857,24.263,66.15,"Class2",51.688
48,59.681,"Z",16.484,48.574,41.903,53.404,76.23,46.326,"Class1",57.074
47,73.712,"C",16.796,37.011,78.978,38.683,76.51,64.183,"Class1",51.162
47,15.213,"R",16.726,51.412,82.992,60.492,76.165,65.906,"Class1",46.503
47,107.052,"C",17.277,38.87,44.143,20.879,75.799,50.199,"Class1",59.645
10,74.435,"U",39.708,56.117,62.951,86.155,58.717,70.618,"Class2",49.877
11,93.412,"Y",38.33,55.771,35.305,57.981,78.356,39.16,"Class2",55.093
47,102.339,"O",18.737,51.693,64.041,12.366,76.844,59.441,"Class1",16.024
47,78.331,"F",17.308,43.775,31.287,64.716,76.404,45.715,"Class1",61.464
47,NA,"F",20.304,46.339,54.083,13.239,76.841,68.102,"Class1",11.24
48,25.363,"C",17.772,46.259,52.499,31.141,76.381,76.11,"Class1",55.484
47,51.911,"Z",16.983,42.653,36.362,25.407,76.626,71.428,"Class1",61.106
47,68.199,"F",16.901,39.198,60.955,63.286,76.258,64.352,"Class1",55.413
48,98.31,"Z",15.701,46.321,62.227,38.361,76.603,NA,"Class1",41.703
47,53.517,"O",17.416,37.245,78.865,9.318,76.524,75.11,"Class1",70.607
13,85.4,"Y",65.105,55.11,59.075,63.493,47.351,59.161,"Class2",51.172
5,81.51,"U",85.467,57.003,65.687,82.771,35.783,63.216,"Class2",49.049
47,69.291,"O",16.616,51.593,86.896,14.819,76.186,59.647,"Class1",53.186
7,69.263,"Y",40.573,55.986,57.835,78.392,30.18,40.328,"Class2",45.879
48,22.095,"Z",15.808,41.415,72.743,31.963,76.396,42.157,"Class1",26.921
13,65.267,"U",57.005,58.567,47.482,67.959,-0.081,42.995,"Class2",53.711
7,100.792,"U",81.38,56.602,42.843,71.246,13.077,48.715,"Class2",47.168
48,43.559,"Z",16.947,38.231,65.84,55.079,76.013,76.706,"Class1",34.23
48,NA,"C",17.912,34.942,79.194,35.076,76.44,72.171,"Class1",7.682
6,73.552,"Y",75.684,56.988,42.332,61.035,63.956,36.183,"Class2",54.294
48,47.585,"R",16.383,42.883,44.995,77.484,76.631,68.575,"Class1",9.418
48,44.947,"Z",17.69,41.739,57.918,75.341,76.611,38.523,"Class1",11.911
5,82.122,"C",48.986,55.158,61.52,61.527,52.628,66.939,"Class2",52.293
47,62.112,"O",18.131,38.117,91.224,62.572,76.696,73.266,"Class1",15.492
48,2.358,"O",16.849,49.79,49.216,25.894,76.908,36.389,"Class1",57.81
14,NA,"U",33.901,59.404,40.699,87.277,51.449,NA,"Class2",47.561
48,NA,"C",16.172,38.229,65.163,67.494,76.651,76.967,"Class1",52.254
47,10.209,"O",16.766,45.904,52.666,12.764,76.883,74.079,"Class1",42.663
9,63.368,"K",28.159,55.099,49.66,75.398,46.405,46.272,"Class2",44.935
47,52.747,"R",19.121,29.278,53.346,40.592,76.205,51.462,"Class1",29.844
47,62.041,"C",17.482,31.231,68.579,53.671,75.744,76.434,"Class1",24.428
13,76.906,"Y",43.622,56.165,68.883,72.528,45.151,49.705,"Class2",55.098
48,73.279,"Z",17.9,49.008,87.981,5.004,75.588,43.554,"Class1",33.912
48,83.466,"O",18.56,53.529,53.593,7.114,77.191,77.059,"Class1",23.915
6,83.103,"L",43.793,60.032,66.197,78.463,59.179,NA,"Class2",48.803
47,49.705,"R",15.152,48.593,91.174,61.726,76.653,40.52,"Class1",29.563
47,90.572,"C",17.397,37.377,63.639,68.141,76.551,37.972,"Class1",5.564
14,93.389,"Y",78.387,54.089,57.413,53.465,15.9,50.494,"Class2",54.516
47,39.052,"F",14.768,35.09,74.292,61.748,76.187,45.888,"Class1",8.791
9,NA,"Y",63.171,58.606,35.977,91.1,26.748,35.202,"Class2",50.883
10,81.74,"C",42.274,55.832,37.583,70.488,39.815,61.341,"Class2",54.407
48,62.837,"F",16.998,35.186,59.029,26.447,77.234,70.012,"Class1",8.883
12,85.028,"Y",61.192,56.929,70.913,74.415,56.224,68.288,"Class2",53.123
10,91.379,"C",70.117,53.749,58.43,65.266,33.879,46.037,"Class2",45.685
8,76.663,"U",50.808,56.969,59.366,79.937,57.467,49.621,"Class2",47.361
6,97.42,"Y",40.862,56.397,67.491,65.598,37.253,75.49,"Class2",54.363
48,43.074,"O",18.517,58.366,57.363,42.87,75.906,44.241,"Class1",63.921
6,98.198,"U",47.261,57.01,43.397,56.466,60.261,47.841,"Class2",49.288
48,98.088,"C",16.86,44.705,33.392,26.428,76.17,76.891,"Class1",35.742
48,114.28,"Z",16.358,40.685,64.811,47.573,76.624,44.993,"Class1",30.498
7,84.982,"U",57.834,57.929,37.075,86.682,30.362,73.5,"Class2",44.684
14,87.498,"L",36.494,55.598,59.796,77.932,88.134,73.986,"Class2",43.115
47,21.033,"Z",17.423,57.516,43.409,14.557,76.434,35.966,"Class1",41.329
14,80.119,"Y",31.651,54.815,65.215,63.838,27.553,55.367,"Class2",47.308
9,87.969,"U",73.626,55.559,52.811,56.099,84.82,43.43,"Class2",46.855
11,80.544,"U",23.733,56.705,52.689,80.775,57.667,51.544,"Class2",46.366
47,50.678,"Z",18.977,42.521,77.277,7.426,76.255,37.128,"Class1",19.901
47,81.697,"F",15.509,49.16,58.882,6.367,76.616,42.319,"Class1",16.304
48,96.993,"R",17.754,46.506,86.997,46.701,76.619,67.786,"Class1",68.121
8,92.804,"K",9.463,55.674,36.977,53.772,53.933,40.644,"Class2",51.375
47,67.728,"O",15.822,41.55,81.588,58.02,76.271,55.826,"Class1",6.318
48,55.769,"O",16.856,34.998,59.959,55.584,76.279,43.43,"Class1",16.83
9,62.248,"L",43.839,55.439,46.024,53.562,22.048,48.327,"Class2",53.249
48,79.143,"O",15.316,59.647,77.656,35.337,77.088,40.665,"Class1",28.994
48,85.256,"F",18.908,42.668,75.669,80.238,76.548,58.276,"Class1",68.077
48,57.971,"C",17.216,47.314,47.286,43.591,76.941,76.357,"Class1",56.435
13,91.884,"U",75.12,53.096,41.394,64.933,22.367,57.982,"Class2",50.191
10,90.075,"L",34.084,53.911,37.684,70.298,52.372,44.319,"Class2",44.672
48,85.05,"F",16.669,43.401,37.902,3.123,76.073,51.271,"Class1",6.984
47,47.026,"O",16.319,41.819,47.934,37.516,76.989,NA,"Class1",69.297
11,85.373,"U",4.625,55.687,41.018,67.125,58.135,72.165,"Class2",49.353
48,83.71,"C",17.432,43.175,33.853,26.87,76.636,51.959,"Class1",12.392
47,32.824,"F",18.022,48.972,39.649,20.301,76.034,65.011,"Class1",60.351
12,96.774,"U",34.05,57.405,57.983,76.305,52.429,44.126,"Class2",52.616
14,103.091,"U",71.863,56.069,67.733,59.302,73.68,28.065,"Class2",52.79
47,46.859,"Z",17.497,38.083,93.712,31.838,76.618,64.361,"Class1",32.75
47,70.606,"R",17.342,54.433,33.425,2.78,76.179,63.48,"Class1",38.652
9,104.865,"C",129.028,58.439,69.214,65.672,62.633,33.765,"Class2",51.855
9,NA,"K",29.584,54.038,45.733,57.189,15.586,28.402,"Class2",54.833
47,61.786,"O",17.196,47.639,29.339,28.642,76.546,36.571,"Class1",66.047
48,6.257,"R",16.524,45.389,62.9,9.798,75.883,61.717,"Class1",3.815
47,74.806,"C",14.911,46.772,63.622,30.72,76.258,32.429,"Class1",44.056
13,89.461,"L",68.254,54.729,44.755,69.166,29.593,27.563,"Class2",52.998
6,93.373,"K",40.381,56.89,45.228,90.708,45.064,73.181,"Class2",55.705
47,18.128,"C",15.658,46.006,41.597,56.294,76.788,77.568,"Class1",66.155
12,87.817,"C",28.824,55.975,49.954,67.453,21.852,78.698,"Class2",53.218
7,87.79,"K",14.666,54.167,50.554,63.016,44.158,40.697,"Class2",44.166
14,72.609,"C",37.307,56.604,70.167,77.535,59.961,65.589,"Class2",49.711
12,78.612,"Y",62.809,56.774,66.978,64.887,12.154,65.113,"Class2",51.782
48,NA,"R",18.16,55.2,90.527,18.511,76.681,35.714,"Class1",14.361
11,93.51,"K",78.048,53.113,52.265,66.378,53.126,60.958,"Class2",55.246
48,81.108,"F",19.779,49.851,78.152,31.274,76.693,35.002,"Class1",38.498
48,NA,"F",16.585,48.367,48.991,69.954,75.524,38.676,"Class1",70.15
48,37.636,"F",16.1,32.017,91.173,69.645,76.479,67.183,"Class1",66.738
47,108.909,"Z",15.65,51.544,82.02,43.79,76.848,NA,"Class1",17.105
47,NA,"R",17.485,46.52,93.577,56.359,76.641,43.429,"Class1",9.681
48,73.772,"F",17.054,45.849,37.035,42.202,75.731,45.918,"Class1",29.274
47,61.623,"O",19.304,46.491,67.467,16.935,76.405,40.147,"Class1",9.335
12,105.102,"U",34.366,53.767,46.609,59.683,70.2,66.919,"Class2",51.057
48,70.761,"F",17.732,50.475,83.13,46.525,76.698,46.095,"Class1",40.611
47,124.436,"R",17.689,42.971,33.567,17.557,76.991,77.974,"Class1",48.868
7,84.493,"Y",28.673,57.744,49.476,68.519,61.296,55.619,"Class2",45.193
47,113.869,"O",17.447,33.891,35.938,5.351,76.803,58.745,"Class1",36.696
47,79.108,"R",17.247,44.118,62.814,47.712,76.699,47.859,"Class1",25.232
5,77.284,"K",63.255,52.82,40.667,78.78,31.806,65.671,"Class2",55.903
47,114.926,"R",15.638,48.396,90.754,11.54,76.661,58.083,"Class1",47.681
10,77.126,"C",37.747,56.182,43.88,92.908,66.044,61.525,"Class2",43.416
47,65.082,"Z",16.515,49.62,78.818,79.685,76.301,62.856,"Class1",66.034
48,49.766,"R",18.401,45.349,52.765,35.709,76.648,61.255,"Class1",56.475
11,89.445,"Y",51.071,56.674,56.265,67.593,7.449,73.146,"Class2",45.571
47,55.67,"R",16.008,44.862,29.969,59.138,76.563,69.619,"Class1",5.034
8,94.583,"U",33.224,55.813,66.986,86.779,20.44,72.871,"Class2",45.554
5,88.925,"K",98.313,56.451,57.867,77.353,44.936,33.718,"Class2",46.512
48,27.909,"R",17.783,50.694,89.927,7.438,75.479,42.254,"Class1",16.676
8,88.033,"U",53.396,56.726,59.604,91.755,32.081,43.412,"Class2",51.494
48,89.415,"O",17.406,34.02,44.769,51.717,76.376,68.05,"Class1",33.991
8,78.49,"L",15.433,54.475,52.935,86.976,63.232,NA,"Class2",55.465
5,90.45,"C",16.541,54.936,51.779,81.069,16.835,46.487,"Class2",55.241
47,47.624,"O",15.501,49.458,39.785,6.249,76.185,66.778,"Class1",4.094
9,74.977,"L",63.746,58.781,39.683,91.798,59.373,NA,"Class2",55.63
13,78.114,"U",48.256,54.35,59.165,61.486,31.295,56.258,"Class2",54.715
47,57.793,"R",16.207,53.948,77.948,39.631,76.403,77.622,"Class1",42.457
48,74.426,"Z",19.671,35.892,82.92,77.018,76.583,63.954,"Class1",24.015
47,NA,"C",15.294,43.326,76.73,8.334,76.016,74.772,"Class1",64.694
48,64.664,"C",15.874,41.624,55.157,79.674,75.922,58.688,"Class1",55.692
7,76.726,"C",76.792,56.244,57.937,84.571,10.789,74,"Class2",43.732
47,53.835,"R",15.79,52.725,77.411,38.778,76.277,50.645,"Class1",6.823
8,90.45,"C",55.679,56.992,37.404,72.826,51.64,52.109,"Class2",52.357
11,84.128,"L",48.139,57.287,46.663,78.578,38.686,50.82,"Class2",52.359
8,87.671,"C",27.026,55.411,35.562,77.325,44.792,49.754,"Class2",50.167
9,98.995,"Y",97.631,55.892,37.87,83.608,79.026,50.592,"Class2",45.086
47,46.979,"C",16.918,49.232,60.566,54.191,76.577,40.165,"Class1",31.065
47,63.001,"Z",16.152,34.103,79.777,19.429,76.68,72.03,"Class1",35.919
48,75.999,"C",18.77,41.963,78.21,24.541,76.225,60.785,"Class1",15.562
9,98.43,"L",57.935,52.971,36.454,53.813,22.256,70.047,"Class2",51.047
12,81.819,"K",71.321,57.475,37.717,84.867,65.73,76.305,"Class2",45.871
10,91.112,"U",33.306,56.766,56.959,57.332,81.902,29.762,"Class2",51.177
14,74.661,"U",46.488,57.414,55.791,60.844,29.605,75.863,"Class2",51.653
47,99.174,"Z",17.796,36.259,51.7,9.045,76.479,67.083,"Class1",1.228
48,81.843,"Z",16.582,54.587,43.498,56.711,76.314,47.417,"Class1",19.633
14,91.3,"K",57.662,57.035,36.847,76.546,68.251,NA,"Class2",50.654
14,NA,"Y",46.976,59.456,61.955,75.514,11.908,55.735,"Class2",55.491
48,51.925,"O",17.356,46.141,69.188,21.258,76.741,34.71,"Class1",72.408
14,72.813,"L",78.979,56.733,68.053,57.785,66.375,78.371,"Class2",47.24
47,89.472,"C",16.376,38.903,46.342,36.585,76.326,58.234,"Class1",13.933
7,84.879,"Y",42.315,57.344,61.7,91.26,86.838,47.528,"Class2",51.305
6,93.768,"L",12.785,54.848,51.016,52.899,35.352,65.704,"Class2",45.849
47,70.632,"F",16.422,39.622,77.989,48.938,76.808,54.443,"Class1",12.336
48,NA,"R",18.451,48.62,66.372,54.654,75.841,46.653,"Class1",57.294
7,84.742,"L",56.269,56.854,49.004,55.28,22.146,58.735,"Class2",47.618
47,NA,"O",16.458,52.594,72.546,78.652,76.176,35.724,"Class1",72.03
5,NA,"Y",46.034,54.401,68.806,70.235,57.6,62.026,"Class2",52.762
14,91.568,"L",24.5,56.457,45.869,52.932,62.961,68.642,"Class2",51.888
11,80.388,"Y",61.364,57.543,37.274,78.783,77.136,49.787,"Class2",44.534
14,92.608,"K",37.254,56.714,45.779,65.991,11.135,36.901,"Class2",53.518
9,80.9,"K",37.789,54.369,40.989,79.302,46.344,64.685,"Class2",50.495
48,119.004,"C",15.868,44.076,70.84,6.249,76.866,47.061,"Class1",63.263
47,63.397,"F",15.778,49.798,50.852,41.053,76.355,33.449,"Class1",59.377
47,27.314,"C",16.777,38.3,60.747,47.047,76.782,NA,"Class1",52.193
13,83.638,"Y",2.003,57.755,47.401,74.832,35.918,34.705,"Class2",45.477
10,103.888,"L",22.479,56.879,70.626,81.361,4.132,41.189,"Class2",50.389
10,86.134,"L",54.935,55.806,51.36,53.567,22.019,66.759,"Class2",43.421
47,103.481,"Z",15.735,49.48,82.374,3.79,76.521,48.846,"Class1",53.76
48,4.53,"R",16.227,35.861,81.667,2.477,76.504,38.912,"Class1",69.808
47,75.156,"F",19.859,38.405,93.077,24.045,76.41,66.366,"Class1",47.939
10,101.657,"Y",37.137,56.589,40.918,70.291,93.546,59.061,"Class2",45.268
10,66.336,"C",73.08,57.169,69.312,60.233,-18.951,32.552,"Class2",54.734
48,81.408,"F",15.721,60.931,36.723,45.926,76.614,76.02,"Class1",2.37
12,104.781,"C",81.393,56.935,66.235,84.919,26.871,71.433,"Class2",43.93
10,68.982,"K",82.341,57.134,34.822,83.2,79.359,41.143,"Class2",48.623
48,123.209,"C",16.405,49.036,38.885,62.902,76.315,32.113,"Class1",58.391
14,88.247,"C",81.823,56.599,47.393,65.079,54.626,29.024,"Class2",52.641
47,95.146,"R",17.574,53.888,70.454,71.993,76.339,53.411,"Class1",71.698
47,83.911,"Z",16.768,38.672,90.513,67.281,75.963,75.817,"Class1",66.149
11,103.391,"K",35.56,57.48,60.505,80.887,59.007,78.379,"Class2",54.19
48,44.495,"F",16.7,39.234,90.788,5.944,76.705,73.785,"Class1",53.065
47,84.542,"F",17.782,45.382,54.42,36.074,76.663,64.327,"Class1",4.204
48,17.73,"F",15.406,45.122,55.548,48.64,76.939,44.255,"Class1",4.341
48,57.977,"F",17.789,49.945,92.272,8.059,77.244,NA,"Class1",50.767
10,92.522,"U",81.266,54.802,70.912,72.394,5.953,40.378,"Class2",53.972
10,86.208,"L",87.641,54.419,50.153,59.407,90.734,71.875,"Class2",49.01
8,91.77,"Y",50.911,57.91,46.545,78.608,45.611,NA,"Class2",47.777
10,NA,"C",73.125,58.329,50.49,77.336,86.153,38.018,"Class2",55.755
47,56.93,"O",18.75,40.712,44.794,22.578,76.936,73.144,"Class1",2.243
13,69.472,"C",75.163,56.936,40.311,58.212,37.534,35.818,"Class2",50.62
13,84.715,"Y",45.861,55.345,61.272,88.714,24.535,43.217,"Class2",55.729
10,93.248,"Y",38.746,57.07,48.344,83.225,-2.006,29.678,"Class2",53.031
6,80.326,"Y",70.157,58.255,34.228,55.128,77.724,61.858,"Class2",46.46
9,84.458,"K",-10.139,54.175,66.793,88.313,40.933,60.696,"Class2",51.242
47,42.382,"O",13.911,39.952,76.635,33.119,76.479,39.178,"Class1",49.465
8,85.64,"Y",52.489,56.523,54.557,91.925,44.181,52.112,"Class2",50.44
47,117.564,"F",18.818,51.08,57.445,23.054,76.452,35.913,"Class1",58.938
14,84.109,"U",31.221,53.901,50.943,68.92,39.029,28.619,"Class2",54.494
48,15.812,"C",18.3,55.356,59.978,49.969,76.249,65.255,"Class1",6.599
8,84.049,"L",32.825,56.407,60.204,65.837,58.84,47.767,"Class2",50.344
9,82.721,"C",80.963,57.281,69.222,57.952,35.118,34.211,"Class2",54.532
47,56.811,"C",16.143,46.868,30.303,28.827,76.296,68.357,"Class1",59.42
48,52.708,"O",16.187,39.456,35.251,56.77,76.33,45.209,"Class1",52.553
47,NA,"F",16.123,52.65,59.853,7.183,75.901,53.673,"Class1",19.259
11,87.54,"C",20.288,55.904,53.333,53.741,2.902,NA,"Class2",52.152
8,65.82,"C",42.808,56.569,55.904,65.133,86.786,55.295,"Class2",47.149
11,78.506,"K",45.023,54.879,42.564,63.233,57.043,33.285,"Class2",48.671
8,90.023,"K",93.021,57.359,39.918,89.737,49.13,53.757,"Class2",51.752
48,50.581,"C",16.112,52.267,81.908,80.421,76.132,43.781,"Class1",47.93
12,81.693,"K",36.333,59.213,61.309,79.337,68.019,67.974,"Class2",44.693
47,92.336,"C",18.131,48.615,91.062,52.377,76.958,57.534,"Class1",34.579
47,86.202,"Z",15.214,43.252,37.541,1.397,76.8,62.316,"Class1",72.641
47,33.732,"Z",16.124,37.36,68.354,75.323,76.232,71.884,"Class1",60.767
48,68.185,"Z",21.36,54.186,91.039,40.527,76.467,74.552,"Class1",29.53
12,79.766,"Y",35.931,54.735,55.751,73.565,22.51,51.427,"Class2",43.152
48,60.135,"O",16.564,39.299,43.555,15.058,76.221,49.445,"Class1",14.034
9,81.609,"K",57.68,56.354,58.257,70.911,46.153,NA,"Class2",47.216
47,46.276,"R",16.001,48.02,42.217,1.978,77.061,42.122,"Class1",19.824
14,85.814,"L",74.159,57.52,65.596,69.286,82.998,NA,"Class2",47.295
8,74.719,"Y",80.828,56.551,43.849,86.82,104.558,63.868,"Class2",52.794
5,NA,"C",17.567,55.45,46.157,89.199,38.306,79.801,"Class2",46.944
48,78.484,"O",15.767,36.172,48.354,72.121,76.305,NA,"Class1",5.722
6,70.708,"U",56.869,54.084,64.142,61.354,39.223,32.57,"Class2",46.704
8,73.707,"U",81.302,55.821,60.058,52.406,52.015,60.109,"Class2",44.171
